Player,date,Line 1,Line 2,Line 3,Line 4
val2,1/1/11,72.89347,72,70.43721,66.68821
val2,2/1/11,72.83181,72,70.66043,66.63231
val2,3/1/11,72.95651,71.9,71.00793,66.70368
val2,4/1/11,72.77982,72,70.99963,66.59103
val2,5/1/11,72.68517,72,71.04446,66.56474
val2,6/1/11,72.80386,72,71.11172,66.41299
val2,7/1/11,72.68908,72.1,70.92947,66.39697
val2,8/1/11,72.65163,72.1,70.92245,66.6134
val2,9/1/11,72.70605,72.1,70.47206,66.68613
val2,10/1/11,72.60508,71.9,70.49169,66.63239
val2,11/1/11,72.51452,71.8,70.57639,66.81437
val2,12/1/11,72.19783,71.9,70.60051,66.8495
val2,1/1/12,72.48839,71.9,70.27213,66.91769
val2,2/1/12,72.2776,71.9,70.37115,66.99259
val2,3/1/12,72.42102,72.1,70.24574,67.01841
val2,4/1/12,72.49939,72.3,70.32284,66.9746
val2,5/1/12,72.56266,72.2,70.3585,67.1202
val2,6/1/12,72.3299,72.2,70.65968,67.11346
val2,7/1/12,72.35701,72.1,70.69147,67.03298
val2,8/1/12,72.22827,72.1,70.66949,66.96553
val2,9/1/12,72.32135,72.3,70.65089,67.29552
val2,10/1/12,72.25543,72.3,70.88633,67.43998
val2,11/1/12,72.2934,72.5,70.94573,67.27721
val2,12/1/12,72.19945,72.7,70.77234,67.30031
val2,1/1/13,72.10005,72.5,71.13177,67.23456
val2,2/1/13,72.40376,72.7,71.1607,67.27918
val2,3/1/13,72.09074,72.4,71.35171,67.26635
val3,5/1/08,107.4,107.1,101.7,110.9
val3,6/1/08,107.7,107.9,102.2,112
val3,7/1/08,107.6,108.2,102.4,112.6
val3,8/1/08,107.4,108.1,102.7,112.2
val3,9/1/08,107.7,108.2,102.7,112
val3,10/1/08,107.6,107,102.6,110.9
val3,11/1/08,107.3,106.7,101.7,108.8
val3,12/1/08,107.1,105.9,101.3,107.6
val3,1/1/09,106.6,105.6,100.7,108.1
val3,2/1/09,107,106.4,100.4,108.7
val3,3/1/09,107.2,106.6,100.7,108.9
val3,4/1/09,107.4,106.5,100.8,109.2
val3,5/1/09,107.7,107.2,100.6,109.5
val3,6/1/09,107.6,107.6,100.4,110.4
val3,7/1/09,107.3,107.2,100.1,110.3
val3,8/1/09,107.7,107.2,100.4,110.5
val3,9/1/09,107.8,107.2,100.4,110.6
val3,10/1/09,107.8,107.1,100,110.7
val3,11/1/09,108,107.7,99.8,110.8
val3,12/1/09,108.2,107.3,99.6,110.6
val3,1/1/10,107.9,107.6,99.7,111
val3,2/1/10,108.1,108.1,99.6,111
val3,3/1/10,109.3,108.1,99.9,111.4
val3,4/1/10,109.6,108.4,100,111.6
val3,5/1/10,109.7,108.7,99.9,111.7
val3,6/1/10,109.7,108.6,99.7,111.6
val3,7/1/10,109.3,109.2,99.1,111.6
val3,8/1/10,109.5,109.1,99.3,111.8
val3,9/1/10,109.8,109.3,99.5,111.9
val3,10/1/10,110.1,109.7,99.8,112
val3,11/1/10,110,109.8,99.5,112
val3,12/1/10,110.7,109.8,99.2,112.2
val3,1/1/11,110.6,110.1,99.1,112.8
val3,2/1/11,111.4,110.4,99.1,113.3
val3,3/1/11,112.7,111.6,99.4,114.4
val3,4/1/11,113.2,112,99.5,115.2
val3,5/1/11,113.3,112.7,99.5,115.7
val3,6/1/11,113.3,112,99.3,115.6
val3,7/1/11,113.1,112.2,99.3,115.7
val3,8/1/11,113.3,112.5,99.5,116
val3,9/1/11,113.8,112.7,99.5,116.2
val3,10/1/11,113.9,112.9,99.6,115.9
val3,11/1/11,114,113,99,115.8
val3,12/1/11,114.2,112.4,99,115.6
val3,1/1/12,113.7,112.8,99.2,116.1
val3,2/1/12,114.2,113.3,99.4,116.6
val3,3/1/12,115.4,113.8,99.9,117.5
val3,4/1/12,115.8,114.2,100,117.8
val3,5/1/12,115.7,114.1,99.7,117.7
val3,6/1/12,115.8,113.7,99.2,117.5
val3,7/1/12,115.5,113.6,98.9,117.3
val3,8/1/12,115.8,113.9,99,118
val3,9/1/12,116.8,114,99.2,118.5
val3,10/1/12,117.1,114.2,99.2,118.4
val3,11/1/12,117.2,114,98.8,117.9
val3,12/1/12,117.4,113.3,98.9,117.6
val3,1/1/13,116.7,113.4,98.9,117.9
val3,2/1/13,117.1,114.7,98.8,118.9
val3,3/1/13,118,114.9,99,119.2
val4,4/1/08,0.322530177,0.487575577,-1.211608,0.329393674
val4,7/1/08,0.719161238,0.687349003,-1.048973498,-0.928590211
val4,10/1/08,-0.714621757,-1.10731091,-3.248118907,-2.300768187
val4,1/1/09,0.948890662,-2.241384557,-4.001615871,-1.338921877
val4,4/1/09,0.005347498,-0.916059149,1.681314514,-0.078672016
val4,7/1/09,0.712367508,0.413730539,0.027603546,0.359814188
val4,10/1/09,0.817646052,1.130675622,1.837807076,0.991629206
val4,1/1/10,0.544772582,1.197893872,1.45349234,0.578726181
val4,4/1/10,0.701573667,0.811817143,1.003532803,0.556087615
val4,7/1/10,0.680793026,0.458490123,1.354243021,0.644413039
val4,10/1/10,0.836913751,1.084675368,-0.364925908,0.592971344
val4,1/1/11,-0.447146488,0.613821371,-1.804990147,0.019725063
val4,4/1/11,1.312298438,-0.20943943,-0.855743258,0.613631882
val4,7/1/11,1.183831041,1.423050254,2.542266842,0.318137613
val4,10/1/11,0.587360864,0.53251806,0.100300377,1.00774786
val4,1/1/12,1.218325343,0.286423072,1.50181406,0.48657094
val4,4/1/12,0.646755403,0.474190407,-0.224074176,0.311704081
val4,7/1/12,0.649948015,0.18293058,-0.928727296,0.767612651
val4,10/1/12,0.595724198,0.152856134,0.038731645,0.094488189
